Star Trek: Generations|Action, Adventure, Mystery|1h 58min|David Carson|Patrick Stewart, William Shatner, Malcolm McDowell
Untitled Star Trek Sequel|Action, Adventure||Noah Hawley|Zoe Saldana, Karl Urban, Chris Pine
Star Trek III: The Search for Spock|Action, Adventure, Sci-Fi|1h 45min|Leonard Nimoy|William Shatner, Leonard Nimoy, DeForest Kelley
Star Trek: The Motion Picture|Adventure, Mystery, Sci-Fi|2h 12min|Robert Wise|William Shatner, Leonard Nimoy, DeForest Kelley
Star Trek IV: The Voyage Home|Action, Adventure, Comedy|1h 59min|Leonard Nimoy|William Shatner, Leonard Nimoy, DeForest Kelley
Star Trek: Nemesis|Action, Adventure, Sci-Fi|1h 56min|Stuart Baird|Patrick Stewart, Jonathan Frakes, Brent Spiner
Star Trek First Frontier|Sci-Fi|1h 25min|Kenneth Smith|Robert Pralgo, Tara Ochs, Mark Ashworth
Star Trek V: The Final Frontier|Action, Adventure, Fantasy|1h 47min|William Shatner|William Shatner, Leonard Nimoy, DeForest Kelley
Star Trek Into Darkness|Action, Adventure, Sci-Fi|2h 12min|J.J. Abrams|Chris Pine, Zachary Quinto, Zoe Saldana
Star Trek: First Contact|Action, Adventure, Drama|1h 51min|Jonathan Frakes|Patrick Stewart, Jonathan Frakes, Brent Spiner
Star Trek II: The Wrath of Khan|Action, Adventure, Sci-Fi|1h 53min|Nicholas Meyer|William Shatner, Leonard Nimoy, DeForest Kelley
Star Trek|Action, Adventure, Sci-Fi|2h 7min|J.J. Abrams|Chris Pine, Zachary Quinto, Simon Pegg
Star Trek VI: The Undiscovered Country|Action, Adventure, Sci-Fi|1h 50min|Nicholas Meyer|William Shatner, Leonard Nimoy, DeForest Kelley
Star Trek: Insurrection|Action, Adventure, Sci-Fi|1h 43min|Jonathan Frakes|Patrick Stewart, Jonathan Frakes, Brent Spiner
Star Trek Beyond|Action, Adventure, Sci-Fi|2h 2min|Justin Lin|Chris Pine, Zachary Quinto, Karl Urban
